Customer_ID,First_Name,Last_Name,Email,Phone,City,Country
1001,Bob,Williams,user0@example.com,+1-555-01354,New York,USA
1002,Bob,Johnson,user1@example.com,+1-555-01312,Houston,USA
1003,Bob,Smith,user2@example.com,+1-555-01535,Chicago,USA
1004,Charlie,Williams,user3@example.com,,Houston,USA
1005,Jane,Johnson,user4@example.com,+1-555-01741,New York,USA
1006,John,Williams,user5@example.com,+1-555-01950,Houston,USA
1007,David,Jones,user6@example.com,+1-555-01821,Chicago,USA
1008,Alice,Williams,user7@example.com,+1-555-01186,Phoenix,USA
1009,Jane,Smith,user8@example.com,+1-555-01284,New York,USA
1010,Charlie,Jones,user9@example.com,+1-555-01977,Chicago,USA
1011,Alice,Garcia,user10@example.com,+1-555-01651,Phoenix,USA
1012,Bob,Williams,user11@example.com,,Phoenix,USA
1013,Alice,Garcia,user12@example.com,+1-555-01851,Chicago,USA
1014,Jane,Smith,user13@example.com,+1-555-01553,Phoenix,USA
1015,Alice,Jones,user14@example.com,,New York,USA
1016,Charlie,Johnson,user15@example.com,+1-555-01759,Phoenix,USA
1017,Frank,Smith,user16@example.com,+1-555-01869,New York,USA
1018,John,Jones,user17@example.com,+1-555-01851,Houston,USA
1019,Charlie,Johnson,user18@example.com,+1-555-01375,New York,USA
1020,John,Jones,user19@example.com,+1-555-01298,Los Angeles,USA
1021,Jane,Smith,user20@example.com,+1-555-01444,Chicago,USA
1022,Jane,Smith,user21@example.com,+1-555-01357,Houston,USA
1023,Bob,Johnson,user22@example.com,+1-555-01492,New York,USA
1024,Bob,Williams,,+1-555-01214,New York,USA
1025,Bob,Jones,user24@example.com,+1-555-01814,Los Angeles,USA
1026,Frank,Garcia,user25@example.com,+1-555-01310,Houston,USA
1027,Emma,Jones,user26@example.com,+1-555-01168,Chicago,USA
1028,David,Jones,user27@example.com,+1-555-01803,New York,USA
1029,Frank,Garcia,user28@example.com,+1-555-01528,Phoenix,USA
1030,Emma,Brown,user29@example.com,+1-555-01555,Chicago,USA
1031,John,Johnson,user30@example.com,+1-555-01727,Phoenix,USA
1032,Bob,Jones,user31@example.com,+1-555-01527,Houston,USA
1033,Bob,Garcia,user32@example.com,+1-555-01716,Phoenix,USA
1034,Frank,Johnson,user33@example.com,+1-555-01198,Phoenix,USA
1035,Emma,Johnson,,+1-555-01143,New York,USA
1036,Emma,Johnson,user35@example.com,+1-555-01992,New York,USA
1037,Emma,Williams,user36@example.com,+1-555-01372,New York,USA
1038,Bob,Garcia,user37@example.com,+1-555-01385,Phoenix,USA
1039,John,Brown,user38@example.com,+1-555-01779,Houston,USA
1040,Bob,Garcia,user39@example.com,+1-555-01187,Los Angeles,USA
1041,David,Brown,user40@example.com,+1-555-01600,Los Angeles,USA
1042,David,Garcia,user41@example.com,+1-555-01135,Los Angeles,USA
1043,Bob,Jones,user42@example.com,+1-555-01787,Chicago,USA
1044,Alice,Jones,user43@example.com,+1-555-01750,Houston,USA
1045,David,Williams,user44@example.com,+1-555-01469,Los Angeles,USA
1046,Frank,Smith,user45@example.com,+1-555-01564,Houston,USA
1047,Alice,Johnson,user46@example.com,+1-555-01179,Phoenix,USA
1048,Bob,Jones,user47@example.com,+1-555-01361,Houston,USA
1049,David,Brown,user48@example.com,+1-555-01331,New York,USA
1050,Bob,Smith,user49@example.com,+1-555-01354,Chicago,USA
1051,Charlie,Johnson,user50@example.com,+1-555-01174,Houston,USA
1052,Emma,Johnson,user51@example.com,+1-555-01596,New York,USA
1053,David,Jones,user52@example.com,+1-555-01252,Los Angeles,USA
1054,Jane,Brown,user53@example.com,+1-555-01117,Houston,USA
1055,Alice,Jones,user54@example.com,+1-555-01690,Chicago,USA
1056,Jane,Brown,user55@example.com,+1-555-01504,Los Angeles,USA
1057,David,Johnson,user56@example.com,+1-555-01768,Phoenix,USA
1058,Frank,Brown,user57@example.com,+1-555-01588,Phoenix,USA
1059,John,Johnson,user58@example.com,+1-555-01229,Los Angeles,USA
1060,David,Brown,user59@example.com,+1-555-01520,Phoenix,USA
1061,Frank,Brown,user60@example.com,+1-555-01902,Los Angeles,USA
1062,Emma,Garcia,user61@example.com,+1-555-01580,Chicago,USA
1063,Bob,Johnson,user62@example.com,+1-555-01719,Houston,USA
1064,Emma,Brown,user63@example.com,+1-555-01368,Houston,USA
1065,Frank,Garcia,user64@example.com,+1-555-01280,,USA
1066,Frank,Williams,user65@example.com,+1-555-01906,Los Angeles,USA
1067,Charlie,Brown,user66@example.com,+1-555-01389,Chicago,USA
1068,Alice,Garcia,user67@example.com,+1-555-01403,Phoenix,USA
1069,Frank,Johnson,user68@example.com,+1-555-01359,New York,USA
1070,Emma,Brown,user69@example.com,+1-555-01484,New York,USA
1071,Alice,Brown,user70@example.com,+1-555-01345,Houston,USA
1072,John,Garcia,user71@example.com,+1-555-01392,Chicago,USA
1073,David,Jones,user72@example.com,+1-555-01489,Los Angeles,USA
1074,Charlie,Smith,user73@example.com,+1-555-01129,Chicago,USA
1075,Emma,Williams,user74@example.com,+1-555-01472,Phoenix,USA
1076,Emma,Williams,user75@example.com,+1-555-01560,Phoenix,USA
1077,David,Johnson,user76@example.com,,New York,USA
1078,Charlie,Jones,user77@example.com,+1-555-01111,Phoenix,USA
1079,Charlie,Johnson,user78@example.com,+1-555-01847,New York,USA
1080,Emma,Williams,user79@example.com,+1-555-01762,Chicago,USA
1081,John,Jones,user80@example.com,+1-555-01965,Los Angeles,USA
1082,Bob,Jones,,+1-555-01860,New York,USA
1083,Emma,Johnson,user82@example.com,+1-555-01352,New York,USA
1084,Frank,Garcia,user83@example.com,+1-555-01417,New York,USA
